PR015,938,ALLERGY,ALLERGY ANIMAL PANEL,Blood,No special preparation required
PR009,955,ALLERGY,ALLERGY COMPREHENSIVE PANEL,Blood,No special preparation required
AL030,2007,ALLERGY,ALLERGY CUSTOMIZED PANEL 1,Blood,No special preparation required
OS0109,517,ALLERGY,ALLERGY DRUG PANEL,Blood,No special preparation required
PR010,935,ALLERGY,ALLERGY DUST PANEL,Blood,No special preparation required
AL018,1782,ALLERGY,ALLERGY ECZEMA MAXI PANEL,Blood,No special preparation required
OS0698,1292,ALLERGY,ALLERGY ECZEMA MINI PANEL,Blood,No special preparation required
AL020,1784,ALLERGY,ALLERGY FRUIT PANEL,Blood,No special preparation required
AL029,1932,ALLERGY,ALLERGY MINI COMPREHENSIVE PANEL,Blood,No special preparation required
OS0110,728,ALLERGY,ALLERGY MOLD PANEL,Blood,No special preparation required
OS0763,1171,ALLERGY,ALLERGY NON VEG FOOD PANEL,Blood,No special preparation required
AL024,1788,ALLERGY,ALLERGY PAEDIATRIC PANEL,Blood,No special preparation required
SE0012,302,ALLERGY,ALLERGY PHADIATOP-ADULT,Blood,No special preparation required
SE0013,303,ALLERGY,ALLERGY PHADIATOP-PEDIATRIC,Blood,No special preparation required
PR026,946,ALLERGY,ALLERGY RHINITIS/ASTHMA/INHALANT MAXI PANEL,Blood,No special preparation required
AL026,1839,ALLERGY,ALLERGY RHINITIS/ASTHMA/INHALANT MINI PANEL,Blood,No special preparation required
PR208,1168,ALLERGY,ALLERGY SCREEN (INCLUDES TOTAL IGE AND PHADIATOP),Blood,No special preparation required
AL019,1783,ALLERGY,ALLERGY SEA FOOD,Blood,No special preparation required
OS0623,751,ALLERGY,ALLERGY TREE PANEL,Blood,No special preparation required
OS819,1507,ALLERGY,ALLERGY VEG + NON VEG FOOD MAXI PANEL,Blood,No special preparation required
OS0765,1172,ALLERGY,ALLERGY VEG FOOD PANEL,Blood,No special preparation required
OS0092,314,ALLERGY,"ALLERGY, ACACIA",Blood,No special preparation required
OS0108,516,ALLERGY,"ALLERGY, ALMOND",Blood,No special preparation required
OS0113,316,ALLERGY,"ALLERGY, ALTERNARIA ALTERNATA",Blood,No special preparation required
AL0001,662,ALLERGY,"ALLERGY, ASPERGILLUS FUMIGATUS",Blood,No special preparation required
AL005,1769,ALLERGY,"ALLERGY, AUBERGINE-EGGPLANT",Blood,No special preparation required
OS0175,321,ALLERGY,"ALLERGY, BANANA",Blood,No special preparation required
OS0180,322,ALLERGY,"ALLERGY, BEEF",Blood,No special preparation required
OS0181,323,ALLERGY,"ALLERGY, BERMUDA GRASS",Blood,No special preparation required
OS0188,324,ALLERGY,"ALLERGY, BLUE MUSSEL",Blood,No special preparation required
OS0200,328,ALLERGY,"ALLERGY, CABBAGE",Blood,No special preparation required
AL006,1770,ALLERGY,"ALLERGY, CACAO",Blood,No special preparation required
OS0202,329,ALLERGY,"ALLERGY, CANDIDA ALBICANS",Blood,No special preparation required
OS0206,332,ALLERGY,"ALLERGY, CASHEW NUT",Blood,No special preparation required
AL008,1772,ALLERGY,"ALLERGY, CAT DANDER",Blood,No special preparation required
OS0247,336,ALLERGY,"ALLERGY, CHICKEN",Blood,No special preparation required
OS0248,337,ALLERGY,"ALLERGY, CHICKPEA",Blood,No special preparation required
OS0545,398,ALLERGY,"ALLERGY, CHLORHEXIDINE",Blood,No special preparation required
OS0262,339,ALLERGY,"ALLERGY, CLADOSPORIUM HERBARUM",Blood,No special preparation required
OS0267,341,ALLERGY,"ALLERGY, COCKROACH-AMERICAN",Blood,No special preparation required
AL014,1778,ALLERGY,"ALLERGY, COCKROACH-GERMAN",Blood,No special preparation required
OS0269,343,ALLERGY,"ALLERGY, COCONUT",Blood,No special preparation required
OS0572,405,ALLERGY,"ALLERGY, COMMON RAGWEED",Blood,No special preparation required
OS0276,347,ALLERGY,"ALLERGY, COTTONWOOD",Blood,No special preparation required
OS0277,348,ALLERGY,"ALLERGY, COW DANDER",Blood,No special preparation required
OS0279,350,ALLERGY,"ALLERGY, CRAB",Blood,No special preparation required
OS0282,351,ALLERGY,"ALLERGY, CUCUMBER",Blood,No special preparation required
OS0291,353,ALLERGY,"ALLERGY, DERMATOPHAGOIDES FARINAE",Blood,No special preparation required
OS0292,354,ALLERGY,"ALLERGY, DERMATOPHAGOIDES PTERONYSSINUS",Blood,No special preparation required
OS0299,355,ALLERGY,"ALLERGY, DOG DANDER",Blood,No special preparation required
OS0309,357,ALLERGY,"ALLERGY, EGG WHITE",Blood,No special preparation required
OS0312,358,ALLERGY,"ALLERGY, ELM",Blood,No special preparation required
OS0316,359,ALLERGY,"ALLERGY, EUCALYPTUS-GUM TREE",Blood,No special preparation required
OS0271,344,ALLERGY,"ALLERGY, FISH (COD)",Blood,No special preparation required
OS0358,362,ALLERGY,"ALLERGY, GARLIC",Blood,No special preparation required
OS0363,363,ALLERGY,"ALLERGY, GLUTEN",Blood,No special preparation required
OS0373,367,ALLERGY,"ALLERGY, HAZEL NUT",Blood,No special preparation required
OS0418,368,ALLERGY,"ALLERGY, HORSE DANDER",Blood,No special preparation required
AL013,1777,ALLERGY,"ALLERGY, HOUSE DUST (HOLLISTER-STIER LABS)",Blood,No special preparation required
AL011,1775,ALLERGY,"ALLERGY, INSULIN HUMAN",Blood,No special preparation required
OS0451,369,ALLERGY,"ALLERGY, JOHNSON GRASS",Blood,No special preparation required
OS0457,371,ALLERGY,"ALLERGY, KIWI",Blood,No special preparation required
OS0467,373,ALLERGY,"ALLERGY, LEMON",Blood,No special preparation required
OS0468,374,ALLERGY,"ALLERGY, LENTIL",Blood,No special preparation required
AL007,1771,ALLERGY,"ALLERGY, LETTUCE",Blood,No special preparation required
OS0477,375,ALLERGY,"ALLERGY, LOBSTER",Blood,No special preparation required
OS0275,346,ALLERGY,"ALLERGY, MAIZE-CORN",Blood,No special preparation required
OS0480,377,ALLERGY,"ALLERGY, MANGO",Blood,No special preparation required
OS0481,378,ALLERGY,"ALLERGY, MEADOW GRASS - POA",Blood,No special preparation required
OS0486,380,ALLERGY,"ALLERGY, MELAEUCA-CAJEPUT TREE",Blood,No special preparation required
AL027,1853,ALLERGY,"ALLERGY, MESQUITE/PROSOPIS",Blood,No special preparation required
OS0496,382,ALLERGY,"ALLERGY, MILK",Blood,No special preparation required
OS0501,383,ALLERGY,"ALLERGY, MUGWORT",Blood,No special preparation required
OS0509,386,ALLERGY,"ALLERGY, MUSTARD",Blood,No special preparation required
AL015,1779,ALLERGY,"ALLERGY, OAK",Blood,No special preparation required
OS0521,387,ALLERGY,"ALLERGY, OAT",Blood,No special preparation required
AL004,1768,ALLERGY,"ALLERGY, PAPAYA",Blood,No special preparation required
OS0531,392,ALLERGY,"ALLERGY, PAPRIKA SWEET PEPPER",Blood,No special preparation required
OS0540,393,ALLERGY,"ALLERGY, PEA",Blood,No special preparation required
OS0542,395,ALLERGY,"ALLERGY, PEANUT",Blood,No special preparation required
AL012,1776,ALLERGY,"ALLERGY, PENICILLOYL G",Blood,No special preparation required
AL010,1774,ALLERGY,"ALLERGY, PENICILLOYL V",Blood,No special preparation required
OS0552,400,ALLERGY,"ALLERGY, PINEAPPLE",Blood,No special preparation required
OS0560,402,ALLERGY,"ALLERGY, PORK",Blood,No special preparation required
OS0561,403,ALLERGY,"ALLERGY, POTATO",Blood,No special preparation required
OS0578,407,ALLERGY,"ALLERGY, RICE",Blood,No special preparation required
OS0582,409,ALLERGY,"ALLERGY, SALMON",Blood,No special preparation required
OS0589,410,ALLERGY,"ALLERGY, SESAME SEED",Blood,No special preparation required
OS0591,412,ALLERGY,"ALLERGY, SHRIMP",Blood,No special preparation required
OS0597,414,ALLERGY,"ALLERGY, SOYA BEAN",Blood,No special preparation required
OS0598,415,ALLERGY,"ALLERGY, SPINACH",Blood,No special preparation required
AL009,1773,ALLERGY,"ALLERGY, SUXAMETHONIUM",Blood,No special preparation required
OS0614,419,ALLERGY,"ALLERGY, TIMOTHY",Blood,No special preparation required
OS0619,421,ALLERGY,"ALLERGY, TOMATO",Blood,No special preparation required
OS0626,422,ALLERGY,"ALLERGY, TUNA",Blood,No special preparation required
OS0652,426,ALLERGY,"ALLERGY, WHEAT",Blood,No special preparation required
OS0654,428,ALLERGY,"ALLERGY, WHITE PINE",Blood,No special preparation required
OS0656,429,ALLERGY,"ALLERGY, WILLOW",Blood,No special preparation required
